MSA,Diesel (gal),Gasoline (gal),Diesel (miles),Gasoline (miles)
"Akron, OH",498438,89147,2619706,560570
"Albany, GA",39176,1760,148053,12499
"Albany-Schenectady-Troy, NY",2042304,223610,8632669,1343264
"Albuquerque, NM",1404572,381365,6161642,3268665
"Allentown-Bethlehem-Easton, PA-NJ",677850,126382,3865849,1128538
"Altoona, PA",12164,8943,63458,0
"Ames, IA",309731,16010,1318565,71276
"Ann Arbor, MI",314911,161055,3769297,425464
"Appleton, WI",162056,102594,809472,48032
"Asheville, NC",218878,94520,930782,1452596
"Athens-Clarke County, GA",474855,16591,1560379,86813
"Atlanta-Sandy Springs-Alpharetta, GA",4703850,1827216,19622806,10404027
"Atlantic City-Hammonton, NJ",3036,73552,17617,470737
"Augusta-Richmond County, GA-SC",163110,0,743806,0
"Austin-Round Rock-Georgetown, TX",5144301,579775,20617444,4259674
"Bakersfield, CA",0,15557,0,0
"Baltimore-Columbia-Towson, MD",21883156,4223698,6244069,25153609
"Barnstable Town, MA",4403629,222605,1484956,1826121
"Baton Rouge, LA",714468,92053,3176971,541484
"Bay City, MI",100371,0,562705,0
"Beaumont-Port Arthur, TX",21789,0,137653,0
"Bellingham, WA",354935,82976,1700907,556482
"Bend, OR",88431,63257,701946,481131
"Billings, MT",128260,25286,660206,162511
"Binghamton, NY",246230,53590,1218272,633748
"Birmingham-Hoover, AL",4370,37880,38268,229164
"Blacksburg-Christiansburg, VA",282188,12413,1184515,95770
"Bloomington, IL",0,53908,1345849,310658
"Bloomington, IN",191369,20899,886607,112972
"Boise City, ID",4936,95568,65846,1044548
"Boston-Cambridge-Newton, MA-NH",20589788,2108664,23340969,17073427
"Boulder, CO",0,64833,0,551067
"Bremerton-Silverdale-Port Orchard, WA",640929,28080,3185811,362161
"Brownsville-Harlingen, TX",183074,28410,598386,174082
"Buffalo-Cheektowaga, NY",1349982,241185,7504182,1602878
"Burlington-South Burlington, VT",394526,163345,3473017,489973
"Canton-Massillon, OH",211956,0,2136294,0
"Cape Coral-Fort Myers, FL",560039,52908,2954808,316925
"Carbondale-Marion, IL",1065,47847,0,337376
"Cedar Rapids, IA",208142,24401,992279,278320
"Champaign-Urbana, IL",2293,61361,3345301,276923
"Charleston, WV",331078,68980,1409745,488422
"Charleston-North Charleston, SC",508172,79926,3069628,831203
"Charlotte-Concord-Gastonia, NC-SC",1958153,117851,8348873,1191906
"Charlottesville, VA",0,211123,0,1262468
"Chattanooga, TN-GA",416359,116564,1715361,564469
"Chicago-Naperville-Elgin, IL-IN-WI",55033730,3031787,75362439,28067719
"Chico, CA",202812,70590,931527,385465
"Cincinnati, OH-KY-IN",2995905,223821,12701976,1151339
"Cleveland-Elyria, OH",1981647,432705,12172508,3700971
"College Station-Bryan, TX",94900,206093,0,1284773
"Colorado Springs, CO",472810,75050,2445458,797464
"Columbia, MO",0,24680,291686,167470
"Columbia, SC",0,4104,806073,120919
"Columbus, OH",1400829,201426,7236307,2120483
"Corpus Christi, TX",147941,28664,583298,250353
"Crestview-Fort Walton Beach-Destin, FL",1227,147269,3045,1181438
"Dallas-Fort Worth-Arlington, TX",2171690,809632,4161009,3259633
"Daphne-Fairhope-Foley, AL",0,78784,0,507479
"Davenport-Moline-Rock Island, IA-IL",57586,181445,324862,1578031
"Dayton-Kettering, OH",1032848,453833,4736295,3146292
"Decatur, AL",0,46877,0,304904
"Decatur, IL",600,17396,1478510,149971
"Deltona-Daytona Beach-Ormond Beach, FL",722781,392361,3225803,1860438
"Denver-Aurora-Lakewood, CO",6750391,726131,31475314,7601036
"Des Moines-West Des Moines, IA",838324,206173,4056847,2099177
"Detroit-Warren-Dearborn, MI",5076368,461595,24006084,2037192
"Dover, DE",1875565,409802,8456644,6887931
"Duluth, MN-WI",354705,23419,1607500,188468
"Durham-Chapel Hill, NC",1354630,364509,6832136,2361114
"East Stroudsburg, PA",84789,129954,462837,801166
"Eau Claire, WI",124251,16260,566513,0
"El Centro, CA",129093,92948,633234,640193
"El Paso, TX",0,0,0,0
"Elizabethtown-Fort Knox, KY",5240,176637,35311,1152757
"Erie, PA",305979,187707,1304163,938606
"Eugene-Springfield, OR",825156,151510,3383204,1152004
"Evansville, IN-KY",209550,0,1072693,0
"Fargo, ND-MN",217202,43782,1031585,281829
"Fayetteville, NC",257652,70719,1138097,63038
"Flagstaff, AZ",187692,16095,902660,100270
"Flint, MI",98898,63687,430072,728046
"Florence-Muscle Shoals, AL",276,52172,2213,352742
"Fort Collins, CO",26094,45261,108523,915992
"Fort Wayne, IN",298207,20802,1772034,89020
"Fresno, CA",0,189320,0,1224555
"Gainesville, FL",844994,119863,3312562,625646
"Grand Forks, ND-MN",58861,32588,209908,119623
"Grand Rapids-Kentwood, MI",766408,123730,3626297,1645529
"Great Falls, MT",76327,13780,370674,186712
"Green Bay, WI",143543,20679,670607,0
"Greensboro-High Point, NC",610226,400429,2911373,2727034
"Greenville-Anderson, SC",196271,37513,811664,160478
"Gulfport-Biloxi, MS",130997,37195,938527,117055
"Hanford-Corcoran, CA",0,906449,0,11010403
"Harrisburg-Carlisle, PA",444761,215852,1542759,832592
"Harrisonburg, VA",173371,21524,638748,121720
"Hartford-East Hartford-Middletown, CT",1989661,0,1782102,0
"Hickory-Lenoir-Morganton, NC",58519,90822,363011,814380
"Houston-The Woodlands-Sugar Land, TX",10348310,2554612,48259302,10099192
"Huntington-Ashland, WV-KY-OH",193206,46347,892883,197720
"Huntsville, AL",146816,84112,767034,625061
"Indianapolis-Carmel-Anderson, IN",1813652,312511,7634097,2049987
"Iowa City, IA",393344,40002,1603288,231985
"Ithaca, NY",305611,43870,1273189,335660
"Jackson, MI",86913,13889,379710,171458
"Jackson, MS",283990,49684,841256,378274
"Jackson, TN",100934,47422,436534,366904
"Jacksonville, FL",1287800,479320,4016044,3432017
"Johnson City, TN",0,156174,0,1218605
"Johnstown, PA",11978,63140,464190,375412
"Kahului-Wailuku-Lahaina, HI",335732,159210,1701786,1067475
"Kalamazoo-Portage, MI",331721,86427,1446252,932978
"Kankakee, IL",78347,232917,392307,1128684
"Kansas City, MO-KS",923791,188863,5177564,1583229
"Kennewick-Richland, WA",527914,304513,2982159,2942102
"Kingston, NY",260799,47218,2043113,0
"Knoxville, TN",647804,336424,2629654,1711524
"Kokomo, IN",29673,62156,212714,364212
"La Crosse-Onalaska, WI-MN",144028,3838,861564,0
"Lafayette, LA",77171,18697,297048,158683
"Lafayette-West Lafayette, IN",89305,0,362444,0
"Lakeland-Winter Haven, FL",204700,171713,924615,1065299
"Lancaster, PA",0,467828,3286449,3390872
"Lansing-East Lansing, MI",634630,322866,3006561,2117815
"Laredo, TX",279880,54123,927075,153909
"Las Vegas-Henderson-Paradise, NV",0,0,1691007,0
"Lawrence, KS",200142,124360,933660,733699
"Lebanon, PA",57923,36353,289960,258757
"Lewiston-Auburn, ME",16465,50352,27972,448857
"Lexington-Fayette, KY",364737,255074,1397435,119782
"Lincoln, NE",178069,19792,882530,97584
"Little Rock-North Little Rock-Conway, AR",315451,125784,1195756,756050
"Logan, UT-ID",208514,14125,1172329,93500
"Longview, WA",0,11094,254423,62134
"Los Angeles-Long Beach-Anaheim, CA",8938555,6737505,4213844,39084786
"Louisville/Jefferson County, KY-IN",1472204,411193,6935293,3287208
"Lubbock, TX",352774,106624,1088144,700640
"Lynchburg, VA",216242,30000,982702,181165
"Madison, WI",861616,0,4459753,0
"Manchester-Nashua, NH",0,23720,117809,317748
"McAllen-Edinburg-Mission, TX",120658,114440,0,0
"Medford, OR",60700,35102,319944,413049
"Memphis, TN-MS-AR",1343674,117332,5192128,932117
"Merced, CA",230818,176117,1189331,1515972
"Miami-Fort Lauderdale-Pompano Beach, FL",13350999,3022656,33204510,22226806
"Milwaukee-Waukesha, WI",3404607,352262,16187660,1568864
"Minneapolis-St. Paul-Bloomington, MN-WI",672674,3839009,30517605,25183636
"Missoula, MT",152214,12897,722747,157159
"Mobile, AL",174986,155465,707250,889058
"Modesto, CA",508132,36880,2448598,262516
"Monroe, MI",97894,0,1216248,0
"Montgomery, AL",69423,182426,452247,965545
"Morgantown, WV",0,0,0,0
"Mount Vernon-Anacortes, WA",172819,37641,753919,691822
"Muncie, IN",0,0,711963,0
"Napa, CA",255742,82231,1540598,452035
"Naples-Marco Island, FL",331968,56547,1708711,251503
"Nashville-Davidson--Murfreesboro--Franklin, TN",1703256,554519,5265107,4108085
"New Haven-Milford, CT",0,282281,291224,2009003
"New Orleans-Metairie, LA",431812,157413,7060885,1205113
"New York-Newark-Jersey City, NY-NJ-PA",100155244,7370346,240396543,56244999
"North Port-Sarasota-Bradenton, FL",919793,204919,5112653,1159898
"Norwich-New London, CT",192740,19202,939031,93820
"Oklahoma City, OK",666301,818,2693947,19466
"Olympia-Lacey-Tumwater, WA",16017471,119455,3565878,1785775
"Omaha-Council Bluffs, NE-IA",588017,1753,2753899,214576
"Orlando-Kissimmee-Sanford, FL",125584,1423657,11244694,12019931
"Oshkosh-Neenah, WI",94300,0,488752,0
"Owensboro, KY",152,180540,218,1540870
"Oxnard-Thousand Oaks-Ventura, CA",416353,56101,1704510,462186
"Palm Bay-Melbourne-Titusville, FL",487522,42145,4667114,1308667
"Pensacola-Ferry Pass-Brent, FL",429446,196617,1606726,1275790
"Peoria, IL",0,166395,2222033,1237253
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11033267,1629502,41177212,9859938
"Phoenix-Mesa-Chandler, AZ",2550284,1230701,9526779,9338055
"Pittsburgh, PA",6669335,1593948,24900337,10982943
"Pittsfield, MA",69587,103362,315263,790429
"Port St. Lucie, FL",271421,16883,1474749,46377
"Portland-South Portland, ME",1022441,0,1015945,0
"Portland-Vancouver-Hillsboro, OR-WA",957534,127477,33160705,1153074
"Poughkeepsie-Newburgh-Middletown, NY",224490,0,1357170,0
"Providence-Warwick, RI-MA",2860352,344476,14549285,2640907
"Pueblo, CO",125316,26959,470080,215038
"Punta Gorda, FL",26751,34216,203120,285138
"Racine, WI",270661,18001,1012426,119693
"Raleigh-Cary, NC",176753,216671,643654,2425593
"Redding, CA",132372,50430,645141,312899
"Reno, NV",0,208748,2191676,2692304
"Richmond, VA",346019,213340,1473814,2890220
"Riverside-San Bernardino-Ontario, CA",0,1540219,0,9455806
"Roanoke, VA",749494,101224,3234266,208092
"Rochester, MN",0,13371,832245,810412
"Rochester, NY",1349441,293931,5594212,2224913
"Rockford, IL",343010,89926,1385878,599772
"Rome, GA",28327,33703,143583,136714
"Sacramento-Roseville-Folsom, CA",157016,547811,974861,3963168
"Saginaw, MI",191357,38459,577529,171687
"Salem, OR",0,143623,1130741,1472738
"Salinas, CA",607681,365468,3119992,2143642
"Salisbury, MD-DE",31541,73794,158670,146655
"Salt Lake City, UT",4975424,659008,17828402,9040320
"San Angelo, TX",6389,145814,72927,1905721
"San Antonio-New Braunfels, TX",1203456,815090,4715477,9182452
"San Diego-Chula Vista-Carlsbad, CA",1338204,1156522,1869011,7910279
"San Francisco-Oakland-Berkeley, CA",16683814,2129148,66346248,14679530
"San Jose-Sunnyvale-Santa Clara, CA",3333792,379552,16383637,4845479
"San Luis Obispo-Paso Robles, CA",326646,80428,1738402,693799
"Santa Cruz-Watsonville, CA",133095,62960,678927,546052
"Santa Fe, NM",0,68375,0,372373
"Santa Maria-Santa Barbara, CA",764690,27934,3526485,182650
"Santa Rosa-Petaluma, CA",531012,143288,2059016,1180724
"Savannah, GA",33395,162431,2080700,1330578
"Scranton--Wilkes-Barre, PA",361309,213091,1593625,1229457
"Seattle-Tacoma-Bellevue, WA",14071695,1635190,64404265,17550198
"Sebastian-Vero Beach, FL",95196,79193,659981,581130
"Sherman-Denison, TX",0,62557,0,484096
"Shreveport-Bossier City, LA",0,146460,0,522869
"Sioux City, IA-NE-SD",132902,26215,556718,180594
"Sioux Falls, SD",168437,0,931994,0
"South Bend-Mishawaka, IN-MI",240790,56760,1321963,525759
"Spartanburg, SC",0,156182,0,395904
"Spokane-Spokane Valley, WA",1323191,123409,9028211,1491283
"Springfield, IL",0,90905,1040198,577912
"Springfield, MA",1080075,307684,3123717,2223689
"Springfield, MO",204255,17420,905580,125850
"St. Cloud, MN",67539,0,411673,0
"St. Louis, MO-IL",9946129,154885,48501904,1045025
"State College, PA",341,73839,5546,834565
"Stockton, CA",834133,273001,1930586,1764981
"Sumter, SC",18425,65151,78028,837472
"Syracuse, NY",337602,202481,1798119,728196
"Tallahassee, FL",1584436,48767,2207793,92122
"Tampa-St. Petersburg-Clearwater, FL",3573829,575423,15306098,3040561
"Terre Haute, IN",27344,44515,207175,80374
"Toledo, OH",0,2133,2882554,1
"Topeka, KS",183010,24429,928159,145050
"Tucson, AZ",698,532797,6613690,3125398
"Tulsa, OK",101722,30121,635762,301212
"Urban Honolulu, HI",5201984,1217903,22127139,7398500
"Vallejo, CA",458985,49048,2284864,324053
"Victoria, TX",19396,127787,31448,864765
"Virginia Beach-Norfolk-Newport News, VA-NC",2175783,524449,9026561,618056
"Visalia, CA",0,12241,0,110267
"Waco, TX",189872,19157,1662777,422856
"Washington-Arlington-Alexandria, DC-VA-MD-WV",19323809,3294988,79224947,51901405
"Wenatchee, WA",196634,95814,1121699,502034
"Wheeling, WV-OH",114593,36495,543237,98694
"Wichita, KS",281514,87397,1520987,664122
"Williamsport, PA",54976,8760,195957,3550
"Wilmington, NC",68398,59493,226948,489722
"Winston-Salem, NC",480075,191657,2219160,1077299
"Worcester, MA-CT",427732,360403,2085120,3353426
"Yakima, WA",178977,28063,730634,275527
"York-Hanover, PA",130184,907139,515734,6299147
"Youngstown-Warren-Boardman, OH-PA",287458,56240,1467533,486469
"Yuba City, CA",206466,32653,926082,0
"Yuma, AZ",1441,81264,654435,242261
